virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Mal/2506/05_AUS	B/Malaysia/2506/2005	2005	320	MRC2005Sep2
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Ill/13/05_CDC	B/Illinois/13/2005	2005	320	MRC2005Sep2
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2006MarVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2006SepVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2006SepVic2
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2007MarVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2007SepVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	80	MRC2008MarVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05_F12/05	B/HongKong/45/2005	2005	160	MRC2008SepVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	160	MRC2009FebVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	<10	MRC2009SepVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	40	MRC2010FebVic
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2005Sep1
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2005Sep1
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2005Sep2
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Mal/2506/05_AUS	B/Malaysia/2506/2005	2005	640	MRC2005Sep2
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Ill/13/05_CDC	B/Illinois/13/2005	2005	320	MRC2005Sep2
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2005Sep2
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Mal/2506/05_AUS	B/Malaysia/2506/2005	2005	640	MRC2005Sep2
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Ill/13/05_CDC	B/Illinois/13/2005	2005	320	MRC2005Sep2
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2006MarVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	80	MRC2006MarVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2006SepVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	80	MRC2006SepVic2
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2007MarVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2007SepVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	160	MRC2008MarVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05_F12/05	B/HongKong/45/2005	2005	80	MRC2008SepVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	80	MRC2009FebVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	40	MRC2009SepVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	80	MRC2010FebVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	OHIO/1/2005_F856	B/Ohio/1/2005	2005	640	AusWHO2006
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05	B/HongKong/45/2005	2005	80	MRC2006MarVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2006SepVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2006SepVic2
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2007MarVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2007SepVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	160	MRC2008MarVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05_F12/05	B/HongKong/45/2005	2005	80	MRC2008SepVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	160	MRC2009FebVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	<10	MRC2009SepVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/HK/45/05_F15/05	B/HongKong/45/2005	2005	80	MRC2010FebVic
B/Hawaii/33/2004	B/Hawaii/33/2004	2004	OHIO/1/2005_F856	B/Ohio/1/2005	2005	640	AusWHO2006
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	OHIO/1/2005_F856	B/Ohio/1/2005	2005	320	AusWHO2006
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	OHIO/1/2005_F856	B/Ohio/1/2005	2005	1280	AusWHO2006_2
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/HK/45/05	B/HongKong/45/2005	2005	320	MRC2005Sep1
